id,title,author,available,isbn13,price,format,publisher,pubdate,subjects,pages,overview
101,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Arnold Adoff,1,9780689808692,$5.84,Mass Market Paperback,Simon & Schuster Children's Publishing,January 1997,"Poetry, American Literature Anthologies, Anthologies",192,"'I Am the Darker Brother' exposes the quintessential African American, a proud, lonely, vulnerable yet independent human being who has forged out of hardship that combination of endurance, understanding, and spirit called soul.

                         Arnold Adoff updates the classic collection I Am the Darker Brother: An Anthology of Modern Poems by African Americans, first published in 1968, with 23 new poems by Nikki Giovanni (who also contributes a foreword), Ishmael Reed, Maya Angelou and others. This anthology covers not only well-known poems by Langston Hughes, Gwendolyn Brooks, Claude McKay and Paul Laurence Dunbar, but fills in other bright spots in a strong and often neglected tradition. Illustrations, by Benny Andrews, not seen by PW.
</p>"
102,Classic American Autobiographies,William L. Andrews,1,9780451529152,$6.94,Mass Market Paperback,Penguin Group (USA),November 2003,"Historical Biography - United States - General & Miscellaneous, American Literature Anthologies",464,"Includes: <i>A True History of the Captivity and Restoration of Mrs. Mary Rowlandson, The Autobiography of Benjamin Franklin, Narrative of the Life of Frederick Douglass, Old Times on the Mississippi by Mark Twain</i>, and <i>Four Autobiographical Narratives of Zitkala-Sa</i>.

                         This classic collection of American autobiographies brings together five frequently-taught texts that offer the widest variety of the American experience: A Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson; The Autobiography of Benjamin Franklin; Narrative of the Life of Frederick Douglass; Four Autobiographical Narratives by Gertrude Bonnin; and Mark Twain's Old Times on the Mississippi. Original.
</p>"
103,Mental Floss: Scatterbrained,Editors Of Mental Floss,1,9780060882501,$10.72,Paperback,HarperCollins Publishers,July 2006,"Humor, American Literature Anthologies, General Reference",256," The bathroom read to end all bathroom reads!</p>
 What does Greece (the country) have to do with <b>Grease</b> (the movie)? And what does <b>Grease</b> (the movie) have to do with greasy food? Plenty, if you ask the folks at <b>mental_floss</b>.</p>
 Based on the magazine's ""Scatterbrained"" section, the <b>mental_floss</b> gang has taken on the Mount Everest of trivia challenges: connecting the entire world through the juiciest facts they could find. How do you get from Puppies to Stalin; from Humpty Dumpty to Elizabeth Taylor; from the Hundred Years' War to 8 Minute Abs; or even from Schoolhouse Rock to Abstract Expressionism? You'll just have to open up the book to find out.</p>"
104,The Portable Sixties Reader,Ann Charters,1,9780142001943,$13.79,Paperback,Penguin Group (USA),December 2002,"American Fiction & Literature Classics, Post-World War II American History - General & Miscellaneous, American Literature Anthologies",672," From civil rights to free love, JFK to LSD, Woodstock to the Moonwalk, the Sixties was a time of change, political unrest, and radical experiments in the arts, sexuality, and personal identity. In this anthology of more than one hundred selections of essays, poetry, and fiction by some of America’s most gifted writers, Ann Charters sketches the unfolding of this most turbulent decade.</p>
 <b>The Portable Sixties Reader</b>&nbsp;is organized into thematic chapters, from the Civil Rights movement to the Anti-Vietnam movement, the Free Speech movement, the Counterculture movement, drugs and the movement into Inner Space, the Beats and other fringe literary movements, the Black Arts movement, the Women’s movement, and the Environmental movement. The concluding chapter, “Elegies for the Sixties,” offers tributes to ten figures whose lives—and deaths—captured the spirit of the decade.</p>
<p class=""null1"">Contributors include:</p>
 Edward Abbey, Sherman Alexie, James Baldwin,&nbsp;Richard Brautigan,&nbsp;Lenny Bruce, Charles Bukowski, William Burroughs, Jim Carroll, Rachel Carson, Carlos Castenada, Bob Dylan, Betty Friedan,&nbsp;Nikki Giovanni,&nbsp;Michael Herr, Abbie Hoffman, Robert Hunter, Ken Kesey,&nbsp;Martin Luther King, Jr., Timothy Leary,&nbsp;Denise Levertov,&nbsp;Norman Mailer, Malcolm X, Country Joe McDonald, Kate Millet, Tim O’Brien, Sylvia Plath, Susan Sontag, Gloria Steinem, Hunter S. Thompson, Calvin Trillin, Alice Walker, Eudora Welty and more.</p>"
105,Modern American Memoirs,Annie Dillard,1,9780060927639,$11.99,Paperback,HarperCollins Publishers,October 1996,"Historical Biography - United States - General & Miscellaneous, U.S. Authors - 20th Century - Literary Biography, American Literature Anthologies",464," In <b>Modern American Memoirs,</b> two very discerning writers and readers have selected samples from 35 of the finest memoirs written in this century, including contributions by such diverse writers as Margaret Mead, Malcolm X, Maxine Hong Kingston, Loren Eisely, and Zora Neale Hurston. Chosen for their value as excellent examples of the art of biography as well as for their superb writing, the excerpts present a broad range of American life, and offer vivid insight into the real-life events that shaped their authors. Here, readers can learn about the time when Harry Crews, playing as a boy, fell into a vat of boiling water with a dead hog; Chris Offutt joined the circus and watched a tattooed woman swallow a fluorescent light; and Frank Conroy practiced yo-yo tricks.</p>"
106,Best American Spiritual Writing 2007,Philip Zaleski,1,9780641974120,,Paperback,Houghton Mifflin Company,October 2007,,,
107,The Norton Anthology of American Literature: Volume D: 1914-1945,Jerome Klinkowitz,1,9780393927429,$37.77,Paperback,"Norton, W. W. & Company, Inc.",April 2007,American Literature Anthologies,910," <b>Firmly grounded in the core strengths that have made it the best-selling undergraduate survey in the field,</b> The Norton Anthology of American Literature has been revitalized in this Seventh Edition through the collaboration between three new period editors and five seasoned ones.</p>
 Under Nina Baym’s direction, the editors have considered afresh each selection and all the apparatus to make the anthology an even better teaching tool.</p>"
108,Making Literature Matter: An Anthology for Readers and Writers,John Schilb,1,9780312474911,,Paperback,Bedford/St. Martin's,August 2008,"Language Arts &amp; Disciplines, General",,
109,"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,1,9781558850033,$4.90,Hardcover,Arte Publico Press,January 1990,Peoples & Cultures - American Anthologies,189," Drama. EARLY WORKS: ACTOS, BERNABE AND PENSAMIENTO SERPENTINE is three books in one: 1) a collection of one act plays by Valdez and the famous farmworker theater, El Teatro Campesino, 2) one of the first fully realized, full-length plays by Valdez alone, and 3) an original narrative poem by Luis Valdez. In the first part are collected the original, improvised works of El Teatro Campesino that deal with the exploitation of Mexican farm labor in the California fields, the discrimination found by Mexicans in the schools, and Mexicans being turned into cannon fodder by the U.S. Army in Vietnam. Bernabe is a touching, Lorcaesque poetic drama about a town fool's enchantment and ultimate unity with the earth. Pensamiento serpentino is a long, philosophical poem, based on Mayan thought and cosmology, which analyzes the cultural, religious and political circumstances of Mexican Americans and prepares a metaphysical framework for their future.</p>"
110,In Our Own Words: Student Writers at Work,Rebecca Mlynarczyk,1,9780521540285,$33.09,Paperback,Cambridge University Press,April 2005,"Nonfiction Writing - General & Miscellaneous, English Language Readers, Rhetoric - English Language, American Literature Anthologies, ESL (English as a Second Language) - Reference",288," In Our Own Words takes the unique approach of using student writing as a resource for writing instruction and idea development. The defining characteristic of this unique high-intermediate to advanced writing text is the use of non-native student writing to teach writing. This feature makes the text easily accessible to and popular with students. The third edition features 15 new readings by student writers, five new readings by professional writers, updated writing topics, Internet activities to support the writing process, and contextualized revising and editing activities.</p>"
111,Touch,Toni Press-Coffman,1,9780822220558,$7.20,Paperback,"Dramatists Play Service, Incorporated",November 2005,"Drama Anthologies, American Drama, Love & Relationships - Drama, American Literature Anthologies",51,"Kyle Kalke, an astronomer since childhood, a high school ""science nerd,"" falls in love with flamboyant, outspoken, openhearted Zoe, who—astonishingly—loves him back. When she is kidnapped and murdered, Kyle barricades himself by devoting himself more feverishly to the cosmos and losing himself in loveless sex. TOUCH is about a man in despair questioning whether there is any point to rediscovering passion, risking connection, groping toward the touch that will rekindle joy."
112,"The American Tradition in Literature, Volume 1(book alone)",George Perkins,1,9780077239046,$100.79,Paperback,"McGraw-Hill Companies, The",October 2008,American Literature Anthologies,2040," Widely known as the anthology that best unites tradition with innovation, The American Tradition in Literature is proud to enter its fifth decade of leadership among textbook anthologies of American literature.</p>
 Each volume continues to offer a flexible organization, with literary merit as the guiding principle of selection. The new photos and illustrations illuminate the texts and literary/historical timelines help students put works in context.</p>"
113,The Four Seasons: Poems,J. D. McClatchy,1,9780307268341,$11.16,Hardcover,Knopf Doubleday Publishing Group,June 2008,"Poetry Anthologies, American Poetry, English Poetry, Literature Anthologies - General & Miscellaneous, English & Irish Literature Anthologies, American Literature Anthologies",256,"For the poet, even the most minute details of the natural world are starting points for flights of the imagination, and the pages of this collection celebrating the four seasons are brimming with an extraordinary range of observation and imagery.&nbsp; 
 Here are poets past and present, from Chaucer, Shakespeare, and Wordsworth to Whitman, Dickinson, and Thoreau, from Keats, Blake, and Hopkins to Elizabeth Bishop, Ted Hughes, Amy Clampitt, Mary Oliver, and W. S. Merwin. Here are poems that speak of the seasons as measures of earthly time or as states of mind or as the physical expressions of the ineffable. From Robert Frost’s tribute to the evanescence of spring in “Nothing Gold Can Stay” to Langston Hughes’s moody “Summer Night” in Harlem, from the “stopped woods” in Marie Ponsot’s “End of October” to the chilling “mind of winter” in Wallace Stevens’s “The Snow Man,” the poems in this volume engage vividly with the seasons and, through them, with the ways in which we understand and engage the world outside ourselves.</p>"
114,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Lawrence Senelick,1,9781598530698,$29.30,Hardcover,Library of America,April 2010,"U.S. & Canadian Drama - Literary Criticism, United States - Theater - History & Criticism, American Literature Anthologies",850,"Here is the story, told firsthand through electric, deeply engaged writing, of America's living theater, high and low, mainstream and experimental. Drawing on history, criticism, memoir, fiction, poetry, and parody, editor Laurence Senelick presents writers with the special knack ""to distill both the immediate experience and the recollected impression, to draw the reader into the charmed circle and conjure up what has already vanished."" Through the words of playwrights and critics, actors and directors, and others behind the footlights, the entertainments and high artistic strivings of successive eras come vividly, sometimes tumultuously, to life. <br>
 Observers from Washington Irving and Fanny Trollope to Walt Whitman and Mark Twain evoke the world of the 19th-century playhouse in all its raucous vitality. Henry James confesses his early enthusiasm for playgoing; Willa Cather reviews provincial productions of <i>Uncle Tom's Cabin</i> and <i>Antony and Cleopatra</i>. The increasing diversity and ambition of the American theater is reflected in Hutchins Hapgood's account of New York's Yiddish theaters at the turn of the century, Carl Van Vechten's review of the Sicilian actress Mimi Aguglia, Alain Locke's comments on the emerging African-American theater in the 1920s, and Ezra Pound's response to James Joyce's play Exiles and theatrical modernism. Enthusiasts for the New Stagecraft, such as Lee Simonson and Djuna Barnes, are matched by champions of pop culture such as Gilbert Seldes and Fred Allen. S. J. Perelman lampoons Clifford Odets; Edmund Wilson acclaims Minsky's Burlesque; Harold Clurman explains Stanislavski's Method; Gore Vidal dissects the compromises of commercial playwriting. A host of playwrights-among them Thornton Wilder, Arthur Miller, Tennessee Williams, Lorraine Hansberry, Edward Albee, Wendy Wasserstein, David Mamet, and Tony Kushner-are joined by such renowned critics as Stark Young, George Jean Nathan, Brooks Atkinson, and Eric Bentley.
 ""A dazzling collection of the greatest writing on theater ever assembled in one book.""<br>
 -Andre Bishop, Artistic Director, Lincoln Center Theater</p>"
115,Bum Rush the Page: A Def Poetry Jam,Tony Medina,1,9780609808405,$14.95,Paperback,Crown Publishing Group,October 2001,"Poetry, American Literature Anthologies, Anthologies",320,"<b>Bum Rush the Page</b> is a groundbreaking collection, capturing the best new work from the poets who have brought fresh energy, life, and relevance to American poetry.
 “Here is a democratic orchestration of voices and visions, poets of all ages, ethnicities, and geographic locations coming together to create a dialogue and to jam–not slam. This is our mouth on paper, our hearts on our sleeves, our refusal to shut up and swallow our silence. These poems are tough, honest, astute, perceptive, lyrical, blunt, sad, funny, heartbreaking, and true. They shout, they curse, they whisper, and sing. But most of all, they tell it like it is.”<br>
–Tony Medina, from the Introduction</p>"
116,The Outlaw Bible of American Literature,Alan Kaufmann,1,9781560255505,$16.92,Paperback,Basic Books,December 2004,American Literature Anthologies,920," The Outlaw Bible of American Literature will serve as a primer for generational revolt and an enduring document of the visionary tradition of authenticity and nonconformity in literature. This exuberant manifesto includes lives of the writers, on-the-scene testimony, seminal underground articles never before collected, photographs, cartoons, drawings, interviews, and, above all, the writings. Beat, Punk, Noir, Prison, Porn, Cyber, Queer, Anarchist, Blue Collar, Pulp, Sci-Fi, Utopian, Mobster, Political—all are represented. The Bible includes fiction, essays, letters, memoirs, journalism, lyrics, diaries, manifestoes, and selections from seminal film scripts, including Easy Rider, Apocalypse Now, and Taxi Driver. The editors have brought together an extravagant, eclectic, searing, and unforgettable body of work, showcasing Hustlers, Mavericks, Contrarians, Rockers, Barbarians, Gangsters, Hedonists, Provocateurs, Hipsters, and Revolutionaries—all in one raucous cauldron of rebellion and otherness. This prose companion to the best-selling award-winning Outlaw Bible of American Poetry features selections from Hunter S. Thompson, Exene Cervenka, Patti Smith, Dennis Cooper, Malcolm X, Sonny Barger, Maggie Estep, Lenny Bruce, Henry Miller, R. Crumb, Philip K. Dick, Iceberg Slim, Gil Scott-Heron, Kathy Acker, Jim Carroll, Charles Mingus, Norman Mailer, and many others.</p>"
117,Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,1,9781934633946,$14.00,Paperback,Atlas & Co.,September 2010,"Biographies &amp; Autobiographies, General",,
118,The Best American Short Stories 2003,Walter Mosley,1,9780618197330,$21.95,Paperback,Houghton Mifflin Harcourt,October 2003,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",386," Since its inception in 1915, the Best American series has become the premier annual showcase for the country's finest short fiction and nonfiction. For each volume, a series editor reads pieces from hundreds of periodicals, then selects between fifty and a hundred outstanding works. That selection is pared down to twenty or so very best pieces by a guest editor who is widely recognized as a leading writer in his or her field. This unique system has helped make the Best American series the most respected—and most popular—of its kind.<br>
 Lending a fresh perspective to a perennial favorite, Walter Mosley has chosen unforgettable short stories by both renowned writers and exciting newcomers. The Best American Short Stories 2003 features poignant tales that explore the nuances of family life and love, birth and death. Here are stories that will, as Mosley writes in his introduction, ""live with the reader long after the words have been translated into ideas and dreams. That's because a good short story crosses the borders of our nations and our prejudices and our beliefs.""</p>
 Dorothy Allison Edwidge Danticat E. L. Doctorow Louise Erdrich Adam Haslett ZZ Packer Mona Simpson Mary Yukari Waters</p>"
119,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Paula Gunn Allen,1,9780449905081,$10.31,Paperback,Random House Publishing Group,May 1990,"American Literature Anthologies, Native American Folklore & Mythology, Anthologies, World Literature, Fiction Subjects, Native North American People",288,"""Impressive....Haunting....Enchanting...Every story in the book, which covers nearly a century of tradition, is interesting, written with intelligent passion.""<br>
THE NEW YORK TIMES BOOK REVIEW Native American scholar, literary critic, poet, and novelist Paula Gunn Allen, who is herself a Laguna Pueblo-Sioux Indian, became increasingly aware in her academic career that the writings of Native Americans, especially women, have been marginalized by the Western literary canon. Allen set out to understand why this was so and, more importantly, to remedy the situation. The result is this powerful collection of traditional tales, biographical writings, and contemporary short stories, many by the most accomplished Native American women writing today, including: Louise Erdrich, Mary TallMountain, Linda Hogan, and many others.

                         According to Cherokee legend, Grandmother Spider brought the light of intelligence to the people. For the first time, Spider Woman's Granddaughters brings to light the original American. It is a unique addition to feminist literatire--and a treasure trove for the ever-increasing audience for Native American works.
</p>"
120,Transforming a Rape Culture,Emilie Buchwald,1,9781571312693,$15.13,Paperback,Milkweed Editions,August 2004,"Criminology - Bias Crimes, Family Abuse & Violence, Regional American Anthologies, Sexual Harassment, Criminology - Sex Crimes, Women & Crime",424,"A rape culture is a society that accepts sexual violence as the norm. In this groundbreaking new work, a diverse group of opinions lays the foundation for change in basic attitudes about power, gender, race, and sexuality--for a future without sexual violence. National tour.

                         A rape culture is a society that accepts sexual violence as the norm. In this groundbreaking new work, a diverse group of opinions lays the foundation for change in basic attitudes about power, gender, race, and sexuality--for a future without sexual violence. National tour.
</p>"
121,American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,1,9781598530414,$24.00,Paperback,Library of America,January 2009,"Cooking, Essays",,
122,Baseball: A Literary Anthology,Nicholas Dawidoff,1,9781931082099,$25.31,Hardcover,Library of America,February 2002,"Baseball & Softball, American Literature Anthologies, General & Miscellaneous Literature Anthologies, Fiction Subjects",721," Robert Frost never felt more at home in America than when watching baseball ""be it in park or sand lot."" Full of heroism and heartbreak, the most beloved of American sports is also the most poetic, and writers have been drawn to this sport as to no other. With <b>Baseball: A Literary Anthology</b>, The Library of America presents the story of the national adventure as revealed through the fascinating lens of the great American game.</p>
 Philip Roth considers the terrible thrill of the adolescent centerfielder; Richard Ford listens to minor-league baseball on the radio while driving cross-country; Amiri Baraka remembers the joy of watching the Newark Eagles play in the era before Jackie Robinson shattered the color line. Unforgettable portraits of legendary players who have become icons-Babe Ruth, Ty Cobb, and Hank Aaron-are joined by glimpses of lesser-known characters such as the erudite Moe Berg, who could speak a dozen languages ""but couldn't hit in any of them.""</p>
 Poems in <b>Baseball: A Literary Anthology</b> include indispensable works whose phrases have entered the language-Ernest Thayer's ""Casey at the Bat"" and Franklin P. Adams's ""Baseball's Sad Lexicon""-as well as more recent offerings from May Swenson, Yusef Komunyakaa, and Martin Espada. Testimonies from classic oral histories offer insights into the players who helped enshrine the sport in the American imagination. Spot reporting by Heywood Broun and Damon Runyon stands side by side with journalistic profiles that match baseball legends with some of our finest writers: John Updike on Ted Williams, Gay Talese on Joe DiMaggio, Red Smith on Lefty Grove.</p>"
123,Loving in the War Years: Lo que nunca paso por sus labios,Cherrie Moraga,1,9780896086265,$16.28,Paperback,South End Press,September 2000,"Short Story Collections (Single Author), Hispanic Americans - Fiction & Literature, Peoples & Cultures - American Anthologies, Gay & Lesbian Fiction, Feminism & Feminist Theory, Literature Anthologies - General & Miscellaneous, Feminism & Literature",264," Weaving together poetry and prose, Spanish and English, family history and political theory, <i>Loving in the War Years</i> has been a classic in the feminist and Chicano canon since its 1983 release. This new edition—including a new introduction and three new essays—remains a testament of Moraga's coming-of-age as a Chicana and a lesbian at a time when the political merging of those two identities was severely censured.</p>
 Drawing on the Mexican legacy of Malinche, the symbolic mother of the first mestizo peoples, Moraga examines the collective sexual and cultural wounding suffered by women since the Conquest. Moraga examines her own mestiza parentage and the seemingly inescapable choice of assimilation into a passionless whiteness or uncritical acquiescence to the patriarchal Chicano culture she was raised to reproduce. By finding Chicana feminism and honoring her own sexuality and loyalty to other women of color, Moraga finds a way to claim both her family and her freedom.</p>
 Moraga's new essays, written with a voice nearly a generation older, continue the project of ""loving in the war years,"" but Moraga's posture is now closer to that of a zen warrior than a street-fighter. In these essays, loving is an extended prayer, where the poet-politica reflects on the relationship between our small individual deaths and the dyings of nations of people (pueblos). <i>Loving</i> is an angry response to the ""cultural tyranny"" of the mainstream art world and a celebration of the strategic use of ""cultural memory"" in the creation of an art of resistance.</p>
 <b>Cherríe Moraga</b> is the co-editor of the classic feminist anthology <i>This Bridge Called My Back</i> and the author of <i>The Last Generation.</i> She is Artist-in-Residence at Stanford University.</p>"
124,Don't Squat With Your Spurs On: A Cowboy's Guide to Life,Texas Bix Bender,1,9781423606994,$7.99,Paperback,"Smith, Gibbs Publisher",October 2009,"American Humor - Peoples & Cultures, American Literature Anthologies",128," ""If you find yourself in a hole, the first thing to do is stop digging.""</p>"
125,Listening For God Reader Volume 3,Paula J. Carlson,1,9780806639628,$13.99,Paperback,"Augsburg Fortress, Publishers",February 2000,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",160,"Keep up with current culture while you integrate the perspectives of Christian faith. This two-part resource helps adults explore the issues of discipleship and theology through the guided interaction of 8-10 selections of American literature. Volume 3 authors include John Cheever, Tillie Olsen, Wallace Stegner, and others. Features a reader edition for participants and a guide for leaders."
126,Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,David Remnick,1,9780375761270,$16.24,Paperback,Random House Publishing Group,October 2002,Humor,528," When Harold Ross founded <i>The New Yorker</i> in 1925, he called it a “comic weekly.” And although it has become much more than that, it has remained true in its irreverent heart to the founder’s description, publishing the most illustrious literary humorists in the modern era—among them Robert Benchley, Dorothy Parker, Groucho Marx, James Thurber, S. J. Perelman, Mike Nichols, Woody Allen, Calvin Trillin, Garrison Keillor, Ian Frazier, Roy Blount, Jr., Steve Martin, and Christopher Buckley. <i>Fierce Pajamas</i> is a treasury of laughter from the magazine W. H. Auden called the “best comic magazine in existence.”</p>"
127,The Top 500 Poems,William Harmon,1,9780231080286,$27.96,Hardcover,Columbia University Press,January 1992,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",1132," <i>The Top 500 Poems</i> offers a vivid portrait of poetry in English, assembling a host of popular and enduring poems as chosen by critics, editors, poets, and general readers. These works speak across centuries, beginning with Chaucer's resourceful inventions and moving through Shakespeare's masterpieces, John Donne's complex originality, and Alexander Pope's mordant satires. The anthology also features perennial favorites such as William Blake, William Wordsworth, and John Keats; Emily Dickinson's prisms of profundity; the ironies of Wallace Stevens and T.S. Eliot; and the passion of Sylvia Plath and Allen Ginsberg. These 500 poems are verses that readers either know already or will want to know, encapsulating the visceral power of truly great literature. William Harmon provides illuminating commentary to each work and a rich introduction that ties the entire collection together.</p>
  Columbia University Press</p>


                         For the first time, here is our generation's definitive view of the greatest poetry in the English language. This collection of 500 poems is based on the collective choice of 550 critics, editors, and poets whose anthologies are indexed in The Columbia Granger's Index to Poetry. If you've wondered which collection of poetry to buy for yourself or as a special gift--this is it!
</p>"
128,True Crime: An American Anthology,Harold Schechter,1,9781598530315,$40.00,Hardcover,Library of America,September 2008,"American Literature Anthologies, True Crime",900," Americans have had an uneasy fascination with crime since the earliest European settlements in the New World, and right from the start true crime writing became a dominant genre in American writing. <i>True Crime: An American Anthology</i> offers the first comprehensive look at the many ways in which American writers have explored crime in a multitude of aspects: the dark motives that spur it, the shock of its impact on society, the effort to make sense of the violent extremes of human behavior. Here is the full spectrum of the true crime genre, including accounts of some of the most notorious criminal cases in American history: the Helen Jewett murder and the once-notorious 'Kentucky tragedy' of the 1830s, the assassination of President Garfield, the Snyder- Gray murder that inspired <i>Double Indemnity</i>, the Lindbergh kidnapping, the Black Dahlia, Leopold and Loeb, and the Manson family. <i>True Crime</i> draws upon the writing of literary figures as diverse as Nathaniel Hawthorne (reporting on a visit to a waxworks exhibit of notorious crimes), Ambrose Bierce, Mark Twain, Theodore Dreiser (offering his views on a 1934 murder that some saw as a 'copycat' version of <i>An American Tragedy</i>), James Thurber, Joseph Mitchell, and Truman Capote and sources as varied as execution sermons, murder ballads, early broadsides and trial reports, and tabloid journalism of many different eras. It also features the influential true crime writing of best-selling contemporary practitioners like James Ellroy, Gay Talese, Dominick Dunne, and Ann Rule.</p>"
129,"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",Ruth Peltason,1,9780061174070,$15.95,Paperback,HarperCollins Publishers,September 2008,"Health &amp; Fitness, Women's Health",,
130,African American Literature (Penguin Academics Series),Keith Gilyard,1,9780321113412,$42.47,Paperback,Longman,January 2004,Peoples & Cultures - American Anthologies,1376," <i>African-American Literature</i> is thematically arranged, comprehensive survey of African-American Literature.</p>"
131,"Anthology of American Literature, Volume I",George McMichael,1,9780205779390,$1.99,Paperback,Longman,July 2010,American Literature Anthologies,2256," Pick a Penguin Program*</p>
 We offer select Penguin Putnam titles at a substantial discount to your students when you request a special package of one or more Penguin titles with this text. Among the many American Literature titles available from Penguin Putnam are:</p>
 · Stephen Crane, <i>The Red Badge of Courage</i></p>
 · Frederick Douglass, <i>Narrative of Frederick Douglass</i></p>
 · Nathaniel Hawthorne, <i>The Scarlet Letter</i></p>
 · James Fennimore Cooper, <i>The Last of the Mohicans</i></p>
 · Washington Irving<i>,The Legend of Sleepy Hollow and Other Stories</i></p>"
132,"The Heath Anthology of American Literature: Modern Period (1910?1945), Volume D",Kirk Curnutt,1,9780547201948,$80.66,Paperback,Cengage Learning,February 2009,American Literature Anthologies,1138, American Literature courses.</p>
133,Poems of New York,Elizabeth Schmidt,1,9780375415043,$11.02,Hardcover,Knopf Doubleday Publishing Group,August 2002,"Poetry Anthologies, American Poetry, Poetry of Places, American Literature Anthologies",256,"New York City has always been a larger-than-life, half-mythical place, and this collection offers an appropriately stunning mosaic of its many incarnations in poetry–ranging from Walt Whitman’s exuberant celebrations to contemporary poets’ moving responses to the September 11 attack on the city. 
 All the icons of this greatest of cities swirl and flash through these pages: taxis and subways, bridges and skyscrapers, ghettos and roof gardens and fire escapes, from the South Bronx to Coney Island to Broadway to Central Park, and from Langston Hughes’s Harlem to James Merrill’s Upper East Side. Wallace Stevens, e. e. cummings, W. H. Auden, Dorothy Parker, Elizabeth Bishop, Allen Ginsberg, and Audre Lorde are just a few of the poets gathered here, alongside a host of new young voices.</p>
 Encompassing as many moods, characters, and scenes as this multifaceted, ever-changing metropolis has to offer, <i>Poems of New York</i> will be treasured by literary lovers of New York everywhere.</p>"
134,American Dreams,Sapphire,1,9780679767992,$13.68,Paperback,Knopf Doubleday Publishing Group,June 1996,"Multicultural Aspects/Gay & Lesbian Communities, Peoples & Cultures - American Anthologies, Gay & Lesbian Literature Anthologies, Literature Anthologies - General & Miscellaneous",192," In the tradition of Alice Walker, this electrifying new African American voice delivers the verdict on the urban condition in a sensual, propulsive, and prophetic book of poetry and prose.</p>
 Whether she is writing about an enraged teenager gone ""wilding"" in Central Park, fifteen-year-old Latasha Harlins gunned down by a Korean grocer, or a brutalized child who grows up to escape her probable fate through the miracle of art, Sapphire's vision in this collection of poetry and prose is unswervingly honest.</p>
 ""Stunning . . . . One of the strongest debut collections of the '90s.""—<i>Publishers Weekly</i></p>"
135,"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2",Ted Shine,1,9780684823072,$19.27,Hardcover,Simon & Schuster Adult Publishing Group,February 1996,"Peoples & Cultures - American Anthologies, Drama Anthologies, American Drama, Peoples & Cultures - Drama, American Literature Anthologies",528,"This revised and expanded Black Theatre U.S.A. broadens its collection to fifty-one outstanding plays, enhancing its status as the most authoritative anthology of African American drama with 22 new selections. Building on the well-respected first edition published in 1974, this edition features previously unpublished works including In Dahomey, Liberty Deferred, and Star of Ethiopia, and the Department of Interior's infamous 1918 food pageant. Contemporary plays by women have been added - Robbie McCauley's Sally's Rape, Anna Deavere Smith's Fires in the Mirror, and Aishah Rahman's The Mojo and the Sayso, as well as the modern classics - Ntozake Shange's Colored Girls..., Adrienne Kennedy's Funnyhouse of a Negro, and Lorraine Hansberry's A Raisin in the Sun. The range of this collection extends from 1847 to 1992, including the great names in the African American pantheon of writers - Paul Laurence Dunbar, W. E. B. Du Bois, Angelina Grimke, Zora Neale Hurston, Langston Hughes, Richard Wright, and James Baldwin. The chronology begins with William Wells Brown's The Escape: or, a Leap for Freedom, based on his own life as an escaped slave. Two expatriot authors, Ira Aldridge and Victor Sejour, provide glimpses of life in Europe, while at home, playwrights struggled with the issues of birth control, miscegenation, lynching, and migration. The book embraces both commercial successes such as George C. Wolfe's The Colored Museum, and Charles Fuller's A Soldier's Play, as well as lesser-known masterpieces - Ben Caldwell's The First Militant Preacher, Owen Dodson's The Confession Stone, and Ted Shine's Contribution. The stylistic range, too, runs the gamut of genre from the realism of Ted Ward, Lonne Elder III, and Ed Bullins to the surrealism of Marita Bonner and Aishah Rahman. Comedy is present in Abram Hill's On Strivers Row and Douglas Turner Ward's Day of Absence which mock the racism of both Blacks and Whites."
136,The Signet Classic Book of American Short Stories,Burton Raffel,1,9780451529633,$7.75,Mass Market Paperback,Penguin Group (USA),November 2004,"Short Story Anthologies, American Literature Anthologies",688,"The best of American short fiction -  Spanning over 100 years of literary history, here are 33 of the finest short stories by Washington Irving"
